Agency,MMR Goal,Critical,Performance Indicator,FY12,FY13,FY14,FY15,FY16,TGT16,TGT17,Desired direction,5yr trend
DoITT,6b,FALSE,Percent meeting time to close Ð cable complaint - video service (15 days),98,96,97,96,96,*,*,Neutral,Neutral
DoITT,6b,FALSE,Percent meeting time to close Ð cable complaint - billing (30 days),100,99,100,100,100,*,*,Neutral,Neutral
DoITT,6b,FALSE,Percent meeting time to close Ð cable complaint - miscellaneous (30 days),100,99,100,100,100,*,*,Neutral,Neutral
DoITT,6b,FALSE,Percent meeting time to close Ð public payphone complaint - damaged telephone (30 days),59,44,77,74,86,*,*,Neutral,Up
DOP,1a,FALSE,Adult investigation reports completed - total,"21,488","19,547","18,452","15,546","15,421",*,*,Neutral,Down
DOP,1a,FALSE,Juvenile investigation reports completed,"3,303","3,546","2,194","2,003","2,019",*,*,Neutral,Down
DOP,1a,FALSE,Juvenile investigation reports - on time completion (%),NA,NA,NA,86.0%,81.0%,*,*,Up,NA
DOP,1b,FALSE,Juvenile supervision - Intake cases received,"11,510","7,516","6,064","5,366","4,640",*,*,Neutral,Down
DOP,1b,FALSE,- low-risk (%),NA,47.0%,37.0%,38.0%,40.0%,*,*,Up,NA
DOP,1b,FALSE,- medium-risk (%),NA,16.0%,12.0%,13.0%,14.0%,*,*,Neutral,NA
DOP,1b,FALSE,- high-risk (%),NA,8.0%,7.0%,6.0%,7.0%,*,*,Neutral,NA
DOP,2a,FALSE,Adult supervision cases - end of period,"23,934","23,886","23,805","21,023","21,153",*,*,Neutral,Down
DOP,2a,FALSE,Juvenile supervision cases - end of period,"2,187","2,079","1,781","1,430","1,347",*,*,Neutral,Down
DOP,2a,FALSE,Adult initial risk assessments completed,NA,NA,NA,NA,"7,648",*,*,Neutral,NA
DOP,2a,FALSE,Juvenile initial risk assessments completed,NA,NA,NA,NA,"1,117",*,*,Neutral,NA
DOP,2a,TRUE,Juvenile probationers arrested citywide as a percentage of the NYPD arrest report (monthly average),0.3%,0.2%,0.3%,0.3%,0.3%,*,*,Neutral,Up
DOP,2a,TRUE,Average monthly violation rate for adult probationers (%),0.9%,0.9%,0.8%,0.8%,0.9%,*,*,Neutral,Neutral
DOP,2a,FALSE,Probation violation proceedings ending in revocation for adult probationers (%),46%,45%,44%,47%,54%,*,*,Down,Up
DOP,2a,FALSE,Probation violation proceedings ending in revocation for juvenile probationers (%),57%,47%,49%,41%,53%,*,*,Down,Down
DOP,2a,FALSE,Revocation of juveniles not resulting in placement (%),NA,NA,NA,NA,36.0%,*,*,Neutral,NA
DOP,2a,FALSE,Revocation of juveniles resulting in placement (%),NA,NA,NA,NA,64.0%,*,*,Neutral,NA
DOP,2b,FALSE,Adult supervision- new individual action plans (IAPs) created for eligible clients (%),NA,NA,NA,NA,100.0%,*,*,Neutral,NA
DOP,2b,FALSE,Juvenile supervision - new Individual action plans (IAPs) created for eligible clients (%),NA,NA,NA,NA,100.0%,*,*,Neutral,NA
DOP,2b,FALSE,New enrollments in alternative-to-placement (ATP) programs,NA,194,167,160,134,*,*,Neutral,NA
DOP,2b,FALSE,New enrollments in DOP-managed programs,NA,NA,NA,NA,"2,270",*,*,Neutral,NA
DOP,2b,FALSE,Adult probationer early completion rate (%),17%,12%,11%,12%,10%,*,*,Neutral,Down
DOP,2b,FALSE,Adult probationer early completion approval rate (%),82.0%,81.0%,76.0%,81.0%,75.0%,*,*,Up,Neutral
DOP,2c,FALSE,Intel enforcement events,NA,NA,NA,NA,"1,525",*,*,Neutral,NA
DOP,3a,FALSE,Completed requests for interpretation,"18,764","16,505","16,520","15,859","9,425",*,*,Neutral,Down
DOP,3a,FALSE,Letters responded to in 14 days (%),100%,97%,77%,100%,100%,*,*,Up,Neutral
DOP,3a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
DORIS,1a,FALSE,Number of library items available,"345,151","352,000","358,825","363,997","371,208",*,*,Up,Neutral
DORIS,1a,FALSE,Publications and reports acquired,"7,382","7,205","7,547","7,113","10,016",*,*,Up,Up
DORIS,1a,FALSE,Records accessioned by Municipal Archives (cubic ft.),"5,206","14,834","3,920","2,738","1,049",*,*,Up,Down
DORIS,1a,FALSE,Walk-in and program attendees at the Visitor Center,NA,"2,063","1,508","1,318","1,363",*,*,Up,NA
DORIS,2a,FALSE,Requests for stored records processed within 48 hours (%),95.0%,92.0%,98.0%,100.0%,94.0%,*,*,Up,Neutral
DORIS,2b,FALSE,Warehouse capacity available for new accessions (%),10%,7%,4%,5%,12%,*,*,Neutral,Neutral
DORIS,2b,FALSE,Records transferred into Municipal Records Center (cubic ft. ),"63,426","47,250","20,509","27,837","6,668",*,*,Up,Down
DORIS,2c,FALSE,Total records disposed by City government entities (cubic ft.),NA,NA,NA,NA,"59,232",*,*,Up,NA
DORIS,3a,FALSE,Letters responded to in 14 days (%),100%,92%,92%,100%,100%,*,*,Up,Neutral
DORIS,3a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
FDNY,1a,FALSE,Arson fires,"2,008","1,831","1,766","1,719","1,605",*,*,Down,Down
DORIS,3a,FALSE,CORE customer experience rating (0-100),92,93,93,91,97,*,*,Up,Neutral
DOT,1a,FALSE,- Fair (%),58.4%,58.4%,57.9%,57.9%,58.1%,*,*,Down,Neutral
DOT,1a,FALSE,- Poor (%),0.4%,0.1%,0.1%,0.0%,0.0%,*,*,Down,Down
DOT,1b,FALSE,- Fair (%),26.2%,29.8%,30.0%,29.3%,30.4%,*,*,Down,Up
DOT,1b,FALSE,- Poor (%),0.4%,0.6%,0.7%,0.7%,0.8%,*,*,Down,Up
DOT,1b,FALSE,Pothole work orders,"36,401","43,972","54,667","60,809","50,085",*,*,Down,Up
DOT,1b,FALSE,Potholes repaired - Arterial highway system,"37,962","45,070","126,144","90,289","33,889",*,*,Neutral,Up
DOT,1b,FALSE,- Local streets,"200,666","213,475","323,384","370,204","269,329",*,*,Neutral,Up
DOT,1b,FALSE,Lane miles resurfaced citywide (in-house),"1,006.6",810.6,"1,005.9","1,019.7","1,239.4",*,*,Up,Up
DOT,1b,FALSE,Average cost per lane mile resurfaced citywide ($),"$150,830","$192,536","$169,201","$160,759",NA,*,*,Down,NA
DOT,1b,FALSE,Average in-house cost of asphalt per ton ($),$61.26,$63.04,$61.25,$56.72,NA,*,*,Down,NA
DOT,1b,FALSE,Average vendor cost of asphalt per ton ($),$73.29,$76.64,$63.24,$58.67,NA,*,*,Down,NA
DOT,1b,FALSE,Construction permits issued,"325,839","348,051","418,245","471,688","549,495",*,*,Up,Up
DOT,1b,FALSE,Inspections of permitted street work,"564,852","543,921","641,061","574,467","708,276",*,*,Up,Up
DOT,1b,FALSE,Post-audit inspections for completed street work,"274,714","302,689","329,664","292,453","374,075",*,*,Up,Up
DOT,1b,FALSE,- Completed street work that passed inspection (%),81%,80%,75%,75%,77%,*,*,Up,Neutral
DOT,1b,FALSE,Adopted highway miles that receive a service rating of good (%),100.0%,99.4%,98.9%,94.3%,95.1%,*,*,Up,Neutral
DOT,1b,FALSE,Total violations issued,"30,438","27,382","33,843","34,266","67,065",*,*,Up,Up
DOT,1b,FALSE,Violations admitted to or upheld at the Environmental Control Board (%),89.6%,88.1%,92.0%,91.0%,92.0%,*,*,Up,Neutral
DOT,1c,FALSE,Average time to repair street lights - by DOT (calendar days),2.5,2.7,2.5,2.3,2.9,*,*,Down,Neutral
DOT,1c,FALSE,Average time to repair street lights - by ConEd (calendar days),12.5,14.1,14.9,15.6,14.4,*,*,Down,Up
DOT,2a,FALSE,- Bicyclists/pedestrians,176,168,172,159,152,*,*,Down,Down
DOT,2a,FALSE,- Motorists/passengers,115,93,113,90,84,*,*,Down,Down
DOT,2a,FALSE,Collisions involving DOT vehicles,NA,452,461,344,370,*,*,Down,NA
NYPD,6a,FALSE,CORE facility rating,89,86,90,88,94,*,*,Up,Neutral
DOT,3a,FALSE,- Ridership (000),"22,178","21,399","21,068","21,911","23,067",*,*,Up,Neutral
DOT,3a,FALSE,- Average cost per passenger ($),$5.48,$5.38,$5.75,$5.87,$5.87,*,*,Down,Neutral
DOT,3a,FALSE,Private ferry service - Total ridership (000),"9,020","9,976","9,656","9,830","10,883",*,*,Up,Up
DOT,3a,FALSE,- Number of permanent routes,21,21,21,21,21,*,*,Up,Neutral
DOT,3a,FALSE,Citi Bike annual membership,NA,NA,"92,598","73,369","114,779",*,*,Up,NA
DOT,3a,FALSE,- Trips (000),NA,NA,"9,409","8,765","12,234",*,*,Up,NA
DOT,3a,FALSE,Select Bus Service ridership (000) (annual),"24,850","28,535","36,961","45,200","57,762",*,*,Up,Up
DOT,3a,FALSE,- Route miles (cumulative),18,38,61,65,73,*,*,Up,Up
DOT,3a,FALSE,Average travel speed (miles per hour) - Manhattan Central Business District,9.1,9.1,8.7,8.3,8.1,*,*,Up,Down
DOT,3a,FALSE,Crossing points with pedestrian ramps installed (%),94%,95%,97%,97%,97%,*,*,Up,Neutral
DOT,4a,TRUE,Pedestrian volume index,NA,112.9,111.1,112.7,118.3,*,*,Neutral,NA
DOT,4a,FALSE,Pedestrian space installed (square feet),"231,021","360,057","297,408","230,956","353,439",*,*,Up,Up
DOT,4a,FALSE,Existing newsstands converted to new model (%),86.4%,91.1%,93.7%,94.0%,95.9%,*,*,Up,Neutral
DOT,6a,FALSE,Cases commenced against the City in state and federal court,"2,246","1,927","1,919","2,173","2,209",*,*,Neutral,Neutral
DOT,6a,FALSE,Payout ($000),"$63,347","$71,747","$63,272","$50,636","$62,940",*,*,Down,Down
DOT,6a,FALSE,Workplace injuries reported,541,411,359,390,371,*,*,Down,Down
DOT,7a,FALSE,Average customer in-person wait time (minutes),2,NA,NA,3,4,*,*,Down,NA
DOT,7a,FALSE,Completed customer requests for interpretation,735,655,798,"1,261","1,415",*,*,Neutral,Up
DPR,1a,FALSE,-  Overall condition of small parks and playgrounds (%),79%,83%,85%,85%,83%,*,*,Up,Neutral
DPR,1a,FALSE,-  Overall condition of large parks (%),69%,74%,77%,78%,79%,*,*,Up,Up
DPR,1a,FALSE,-  Overall condition of greenstreets (%),96%,96%,97%,97%,97%,*,*,Up,Neutral
DPR,1a,FALSE,-  Cleanliness of small parks and playgrounds (%),87%,89%,91%,91%,91%,*,*,Up,Neutral
DPR,1a,FALSE,-  Cleanliness of large parks (%),77%,84%,85%,86%,88%,*,*,Up,Up
DPR,1a,FALSE,-  Cleanliness of greenstreets (%),97%,98%,99%,99%,99%,*,*,Up,Neutral
DPR,1a,FALSE,Monuments receiving annual maintenance (%),75%,63%,63%,63%,69%,*,*,Up,Neutral
DPR,1b,FALSE,Summonses issued,"15,795","11,809","16,310","15,323","21,176",*,*,Neutral,Up
DPR,1b,FALSE,Violations admitted to or upheld at the Environmental Control Board (%),79.8%,81.1%,84.8%,87.2%,85.9%,*,*,Up,Neutral
DPR,2a,FALSE,- Annual pruning goal completed (%),109%,173%,119%,140%,92%,*,*,Up,Down
DPR,2a,FALSE,- Trees pruned as a percent of pruning eligible trees,6%,10%,12%,20%,18%,*,*,Up,Up
DPR,2a,FALSE,Trees removed,"16,248","22,920","16,586","15,964","16,505",*,*,Neutral,Down
DPR,2a,FALSE,- Street trees removed (in response to service request),"8,688","9,765","10,525","10,702","12,821",*,*,Neutral,Up
DPR,2b,TRUE,Total public service requests received - Forestry,"110,512","120,791","77,727","85,214","90,217",*,*,Neutral,Down
DPR,2b,FALSE,- Tree emergencies,"31,561","50,775","14,449","17,835","20,462",*,*,Neutral,Down
DPR,2b,FALSE,- Down trees,NA,8.3,15.7,15.3,16.2,*,*,Down,NA
DPR,2b,FALSE,- Hanging tree limbs,NA,13.2,29.4,18.8,30.3,*,*,Down,NA
DPR,2b,FALSE,- Down tree limbs,NA,11.9,18.6,17.3,22.5,*,*,Down,NA
DPR,4a,TRUE,Attendance at outdoor Olympic and intermediate pools (pool season),"1,725,257","1,450,315","1,434,011","1,790,628","1,759,235",*,*,Neutral,Up
DPR,4a,FALSE,Attendance at historic house museums,"841,005","725,376","833,929","825,541","746,304",*,*,Up,Neutral
DPR,4a,FALSE,Attendance at skating rinks,"528,511","530,299","595,887","548,677","564,696",*,*,Up,Neutral
DPR,4a,FALSE,Total attendance at non-recreation center programs,"282,041","528,980","503,919","1,076,194","934,404",*,*,Up,Up
DPR,4b,FALSE,Parks with an affiliated volunteer group (%),NA,NA,NA,NA,29%,*,*,Up,NA
DPR,4b,FALSE,Volunteer turnout,"28,783","37,754","34,137","40,932","44,212",*,*,Up,Up
DPR,5a,FALSE,Cases commenced against the City in state and federal court,301,270,294,292,349,*,*,Neutral,Up
DPR,5a,FALSE,Payout ($000),"$17,708","$24,342","$16,760","$12,690","$13,079",*,*,Down,Down
DPR,5a,FALSE,Collisions involving City vehicles,401,464,496,540,576,*,*,Down,Up
DPR,5a,FALSE,Workplace injuries reported,344,358,397,396,374,*,*,Down,Up
DPR,6a,FALSE,Completed customer requests for interpretation,57,45,60,81,122,*,*,Neutral,Up
DSNY,1a,FALSE,Streets rated filthy (%),0.2%,0.2%,0.4%,0.4%,0.2%,*,*,Neutral,Up
DSNY,1a,FALSE,Sidewalks rated filthy (%),0.3%,0.4%,0.3%,0.4%,0.3%,*,*,Neutral,Neutral
DSNY,1a,FALSE,Violations issued for dirty sidewalks,"35,407","28,690","39,975","49,828","64,693",*,*,Neutral,Up
DSNY,1a,FALSE,Violations issued for illegal posting,"30,512","16,182","18,217","11,601","8,209",*,*,Neutral,Down
DSNY,2a,FALSE,Tons per day disposed,"10,826","10,876","10,611","10,554","10,583",*,*,Down,Neutral
DSNY,2a,FALSE,Average outage rate for all collection trucks (%),17%,19%,21%,20%,19%,*,*,Down,Up
DSNY,2a,FALSE,Missed refuse collections (%),0.1%,1.1%,0.0%,0.0%,0.4%,*,*,Neutral,Down
DSNY,3a,FALSE,Total annual recycling diversion rate (%),16.6%,16.3%,17.0%,17.8%,NA,*,*,Up,NA
DSNY,3a,FALSE,Annual tons recycled total (000),644,642,652,685,NA,*,*,Up,NA
DSNY,3a,FALSE,Missed recycling collections (%),0.0%,3.3%,0.0%,0.0%,0.1%,*,*,Neutral,Down
DSNY,3a,FALSE,Recycling trucks dumped on shift (%),29.7%,29.2%,25.7%,25.8%,26.5%,*,*,Up,Down
DSNY,3a,FALSE,Recycling summonses issued,"75,216","65,017","107,049","107,428","118,407",*,*,Neutral,Up
DSNY,4a,FALSE,Snowfall (total inches),6.8,24.0,56.3,47.5,31.8,*,*,Neutral,Up
DSNY,4a,FALSE,Salt used (tons),"59,274","183,597","492,369","522,841","302,229",*,*,Neutral,Up
DSNY,5a,FALSE,Cases commenced against the City in state and federal court,573,309,341,651,747,*,*,Neutral,Up
DSNY,5a,FALSE,Payout ($000),"$31,763","$26,944","$32,265","$25,500","$42,999",*,*,Down,Up
DSNY,5a,FALSE,Private transfer station permits,60,59,59,59,61,*,*,Neutral,Neutral
DSNY,5a,FALSE,Private transfer station inspections performed,"4,967","5,047","6,022","5,998","4,570",*,*,Neutral,Neutral
DSNY,5a,FALSE,Total Environmental Control Board violations issued,"334,436","259,909","358,064","402,251","458,050",*,*,Neutral,Up
DSNY,5a,FALSE,Violations admitted to or upheld at the Environmental Control Board (%),84%,84%,86%,88%,89%,*,*,Neutral,Neutral
DSNY,5a,FALSE,Refuse collection cost per ton ($),$251,$252,$277,$282,NA,*,*,Neutral,NA
DSNY,5a,FALSE,Refuse cost per ton (fully loaded) ($),$394,$392,$422,$449,NA,*,*,Neutral,NA
DSNY,5a,FALSE,Disposal cost per ton ($),$143,$140,$145,$167,NA,*,*,Neutral,NA
DSNY,5a,FALSE,Recycling cost per ton (fully loaded) ($),$657,$656,$721,$684,NA,*,*,Neutral,NA
DSNY,5a,FALSE,Recycling collection cost per ton ($),$629,$627,$692,$640,NA,*,*,Neutral,NA
DSNY,5a,FALSE,Paper recycling revenue per ton ($),$25,$11,$11,$11,$12,*,*,Neutral,Down
DSNY,5a,FALSE,Removal cost per inch of snow ($000),"$4,300","$1,602","$2,330","$2,444","$3,288",*,*,Neutral,Down
DSNY,5a,FALSE,Collisions involving City vehicles,"1,580","2,093","2,457","2,616","2,625",*,*,Down,Up
DSNY,5a,FALSE,Workplace injuries reported (uniform and civilian),NA,"1,572","1,539","1,266","1,304",*,*,Down,NA
DSNY,6a,FALSE,Completed requests for interpretation,5,0,8,17,16,*,*,Neutral,Up
DSNY,6a,FALSE,Letters responded to in 14 days (%),65%,52%,65%,58%,73%,*,*,Up,Up
DSNY,6a,FALSE,E-mails responded to in 14 days (%),75%,69%,75%,64%,75%,*,*,Up,Neutral
DSNY,6b,FALSE,Percent meeting time to close Ð Sanitation Condition - Street Cond/Dump-Out/Drop-Off (5 days),96,95,97,96,95,*,*,Neutral,Neutral
DSNY,6b,FALSE,Percent meeting time to close Ð Literature Request - Blue Recycling Decals (7 days),100,100,100,100,100,*,*,Neutral,Neutral
DSNY,6b,FALSE,Percent meeting time to close Ð Literature Request - Green Mixed Paper Recycling Decals (7 days),100,100,100,100,100,*,*,Neutral,Neutral
DSNY,6b,FALSE,Percent meeting time to close Ð Dirty Conditions - Illegal Postering (7 days),95,71,66,79,92,*,*,Neutral,Neutral
DYCD,1a,FALSE,Number of young people involved in DYCD-funded programs,"201,194","212,407","247,705","288,767","317,341",*,*,Up,Up
DYCD,1b,FALSE,Certified residential beds for runaway or homeless youth,250,247,329,337,441,*,*,Neutral,Up
DYCD,2a,FALSE,Number of Summer Youth Employment Program contracts,64,64,98,98,100,*,*,Neutral,Up
DYCD,2a,FALSE,Value of Summer Youth Employment Program contracts ($000),"$8,116","$8,641","$15,036","$17,145","$18,563",*,*,Neutral,Up
DYCD,2a,FALSE,Participants in WIA-funded Out-of-School Youth program,"1,900","1,863","1,721","1,800","2,265",*,*,Neutral,Up
DYCD,2a,FALSE,Participants in WIA-funded In-School Youth program,"2,401","2,395","2,527","2,678","2,766",*,*,Neutral,Up
DYCD,3a,FALSE,Participants in community anti-poverty programs,"22,239","22,657","23,403","19,128","19,480",*,*,Neutral,Down
FDNY,1a,FALSE,Summonses issued,"1,245","1,268","8,207","7,975","6,404",*,*,Neutral,Up
DYCD,3c,FALSE,Participants in immigration assistance programs,"4,047","4,263","5,422","7,058","3,505",*,*,Neutral,Up
DYCD,4a,FALSE,Expenditure report reviews,"24,185","22,495","25,352","21,687","25,433",*,*,Neutral,Neutral
DYCD,4a,TRUE,Programmatic reviews/contract monitoring,"10,665","10,518","11,008","14,622","16,832",*,*,Neutral,Up
DYCD,4a,FALSE,Agency assessments completed,"1,110","1,663","1,579",732,"1,356",*,*,Neutral,Down
DYCD,4a,FALSE,Contracts funded,"2,631","2,888","2,691","3,046","2,502",*,*,Neutral,Neutral
DYCD,4a,FALSE,Value of agency contracts ($000),"$249,526","$275,789","$328,301","$478,784","$548,747",*,*,Neutral,Up
DYCD,4a,FALSE,Value of intracity agreements ($000),"$4,244","$4,246","$5,366","$9,460","$6,945",*,*,Neutral,Up
DYCD,5a,FALSE,Completed customer requests for interpretation,"1,415","1,708","1,515","1,986","2,380",*,*,Neutral,Up
DYCD,5a,FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
DYCD,5a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
DYCD,5a,FALSE,Calls answered in 30 seconds (%),38%,54%,94%,47%,47.82%,*,*,Up,Neutral
EDC,1a,FALSE,"Capital expenditures ($000,000) (excludes asset management and funding agreements)",NA,$365.0,$296.3,$253.2,$307.9,*,*,Neutral,NA
EDC,1a,FALSE,Graffiti sites cleaned,"13,367","10,727","7,909","10,295","9,189",*,*,Neutral,Down
EDC,1a,FALSE,Square feet of graffiti removed (000),"4,242","4,078","4,325","5,913","5,650",*,*,Neutral,Up
EDC,1a,FALSE,East River ferry - Average monthly ridership,"92,026","101,579","107,494","113,366","131,896",*,*,Up,Up
EDC,2a,FALSE,"Capital expenditures on asset management ($000,000)",NA,$46.0,$49.9,$38.8,$37.3,*,*,Neutral,NA
EDC,2a,FALSE,"Portfolio revenue generated ($000,000)",NA,$180.3,$199.4,$192.4,$199.8,*,*,Up,NA
EDC,2a,FALSE,Square footage of assets actively managed by NYCEDC (000),"65,570.3","65,537.1","66,394.3","67,266.8","66,321.4",*,*,Neutral,Neutral
EDC,2a,FALSE,Outstanding violations at beginning of the period,NA,55,35,25,64,*,*,Down,NA
EDC,2a,FALSE,Outstanding violations closed during the period,NA,19,23,22,31,*,*,Up,NA
EDC,3a,FALSE,Private sector jobs in innovation industries (%) (calendar year),NA,14.5%,14.6%,14.7%,14.8%,*,*,Up,NA
EDC,3a,FALSE,New York City unemployment rate (%),9.4%,8.5%,8.2%,6.6%,4.9%,*,*,Down,Down
EDC,3b,FALSE,New York City Industrial Development Agency projects  - Contracts closed,12,20,21,14,14,*,*,Up,Neutral
EDC,3b,FALSE,"- Private investment leveraged on closed projects ($000,000)",NA,"$1,710.5","$5,189.0","$3,596.2",$942.2,*,*,Up,NA
EDC,3b,FALSE,Build NYC Resource Corporation - Contracts closed,4,24,21,23,28,*,*,Up,Up
EDC,3b,FALSE,"- Private investment leveraged on closed projects ($000,000)",NA,$513.7,$555.8,$777.8,"$1,404.3",*,*,Up,NA
EDC,3b,FALSE,"Value of funding disbursed pursuant to City funding agreements ($000,000)",$104.8,$91.0,$166.3,$168.7,$128.7,*,*,Neutral,Up
EDC,4a,FALSE,Project employees reported to be earning a living wage or more (%),NA,NA,94%,95%,NA,*,*,Up,NA
FDNY,1a,FALSE,"Structural fires per 100,000 people",306,307,314,330,327,*,*,Down,Neutral
FDNY,1a,FALSE,Violation orders issued,"38,482","40,946","44,860","43,542","44,376",*,*,Neutral,Up
FDNY,1a,FALSE,Violation orders corrected,"30,781","30,377","40,953","37,390","38,109",*,*,Neutral,Up
FDNY,1a,FALSE,Violation orders corrected (%),80%,74%,91%,86%,86%,*,*,Up,Up
FDNY,1a,FALSE,Completed risk-based inspections performed by uniformed personnel,NA,NA,"42,603","43,537","41,671",*,*,Neutral,NA
FDNY,1a,FALSE,Completed mandatory inspections performed by uniformed personnel,NA,NA,"50,224","47,282","55,856",*,*,Neutral,NA
FDNY,1a,FALSE,Fire safety education presentations,"8,776","8,184","8,612","9,497","9,876",*,*,Neutral,Up
FDNY,1b,FALSE,End-to-end average response time to structural fires (minutes:seconds),NA,4:47,4:49,4:51,4:55,*,*,Down,NA
FDNY,1b,FALSE,Average response time to all emergencies by fire companies (FDNY dispatch and travel time only) (minutes:seconds),4:35,4:46,4:46,4:50,4:52,*,*,Down,Neutral
FDNY,1b,FALSE,Total fire company runs,"971,947","983,615","1,054,752","1,138,509","1,175,114",*,*,Neutral,Up
FDNY,1c,FALSE,"Civilian fire fatalities per 100,000 people",0.9,0.6,1.0,0.7,0.8,*,*,Down,Neutral
FDNY,2a,FALSE,End-to-end combined response time to life-threatening medical emergencies by ambulances & fire companies (minutes:seconds),NA,NA,NA,8:18,8:17,*,*,Down,NA
FDNY,2a,FALSE,End-to-end average response time to life-threatening medical emergencies by ambulances (minutes:seconds),NA,9:22,9:31,9:13,9:09,*,*,Down,NA
FDNY,2a,FALSE,End-to-end average response time to life-threatening medical emergencies by fire companies (minutes:seconds),NA,6:51,7:02,7:11,7:20,*,*,Down,NA
FDNY,2a,FALSE,Life-threatening medical emergency incidents,"461,830","450,423","461,339","526,904","570,594",*,*,Neutral,Up
FDNY,2b,FALSE,Segment one incidents (cardiac arrest and choking),"23,759","23,538","24,985","29,719","33,096",*,*,Neutral,Up
FDNY,2b,FALSE,Average ambulance tours per day (total 911 system),989,993,"1,025","1,057","1,105",*,*,Neutral,Up
FDNY,2b,FALSE,Average cost of ambulance tour per day ($),"$1,799","$1,809","$1,876","$1,901","$1,937",*,*,Neutral,Neutral
FDNY,3a,FALSE,Apparatus collisions (fire companies),439,447,451,480,464,*,*,Down,Neutral
FDNY,3a,FALSE,Ambulance collisions,699,793,730,806,"1,056",*,*,Down,Up
FDNY,3a,FALSE,Fire workplace injuries reported (uniform and civilian),"10,275","8,447","7,655","7,850","8,113",*,*,Down,Down
FDNY,3a,FALSE,EMS workplace injuries reported,"1,456","1,313","1,663","1,651","1,601",*,*,Down,Up
FDNY,3a,FALSE,"Average annual cost of an engine company ($000,000)",$6.7,$6.7,$6.9,$6.8,$7.1,*,*,Neutral,Neutral
FDNY,3a,FALSE,"Average annual cost of a ladder company ($000,000)",$8.4,$8.4,$8.6,$8.6,$8.8,*,*,Neutral,Neutral
FDNY,3a,FALSE,Average time from inspection request until inspection (days) - Fire alarm inspections,32,32,32,32,45,*,*,Down,Up
FDNY,3a,FALSE,Average time from inspection request until inspection (days) - Rangehood inspections,5,5,5,5,5,*,*,Down,Neutral
FDNY,3a,FALSE,Violations admitted to or upheld at the Environmental Control Board (%),92%,91%,91%,93%,93%,*,*,Neutral,Neutral
FDNY,4a,FALSE,Completed requests for interpretation,"2,563","2,891","3,721","4,501","5,484",*,*,Neutral,Up
FDNY,4a,FALSE,Letters responded to in 14 days (%),100%,66%,95%,92%,97%,*,*,Up,Neutral
FDNY,4a,FALSE,E-mails responded to in 14 days (%),79%,85%,97%,37%,54%,*,*,Up,Down
FDNY,4a,FALSE,Average wait time to speak with a customer service agent (minutes),14:52,12:14,13:14,11:22,13:53,*,*,Down,Neutral
FDNY,4a,FALSE,CORE facility rating,76,96,99,91,98,*,*,Up,Up
H + H,1c,FALSE,"Total correctional health clinical visits (includes intake exams, sick calls, follow-up, mental health and dental)",NA,"858,172","802,405","769,459","674,825",*,*,Neutral,NA
H + H,1c,FALSE,Patients with a substance abuse diagnosis in a jail-based substance abuse program (%),NA,NA,NA,10.0%,10.0%,*,*,Neutral,NA
HPD,1a,FALSE,Total complaints reported,"589,245","541,397","548,626","553,135","549,640",*,*,Neutral,Neutral
HPD,1a,TRUE,- Emergency complaints reported,"388,276","364,627","363,501","348,447","337,791",*,*,Neutral,Down
HPD,1a,FALSE,Inspection visits per team per day,11.8,12.2,12.3,12.2,12.6,*,*,Up,Neutral
HPD,1a,FALSE,Ratio of completed inspections to attempted inspections (%),71%,72%,78%,80%,78%,*,*,Up,Up
HPD,1a,FALSE,Total complaints closed,"599,374","540,035","544,229","547,823","558,417",*,*,Neutral,Neutral
HPD,1a,FALSE,- Emergency complaints closed,"389,952","364,049","363,995","346,603","339,524",*,*,Neutral,Down
HPD,1a,FALSE,- Heat and hot water,"99,430","108,742","120,106","122,753","110,007",*,*,Neutral,Up
HPD,1a,FALSE,- Lead,"39,862","34,022","33,600","32,528","32,170",*,*,Neutral,Down
HPD,1a,FALSE,- Other emergency,"250,660","221,285","210,289","191,322","197,347",*,*,Neutral,Down
HPD,1a,FALSE,Nonemergency complaints closed within 20 days of receipt (%),NA,82%,78%,69%,75%,*,*,Up,NA
HPD,1b,FALSE,Total violations issued,"468,644","385,507","390,951","408,874","440,849",*,*,Neutral,Neutral
HPD,1b,FALSE,- Emergency violations issued,"92,665","78,564","77,909","75,122","72,000",*,*,Neutral,Down
HPD,1b,FALSE,- Heat and hot water,"10,869","12,216","12,352","10,478","8,858",*,*,Neutral,Down
HPD,1b,FALSE,- Lead,"20,496","13,615","13,046","11,132","11,625",*,*,Neutral,Down
HPD,1b,FALSE,- Other emergency,"61,300","52,733","52,511","53,512","51,517",*,*,Neutral,Down
HPD,1b,FALSE,- Nonemergency violations issued,"375,979","306,943","313,042","333,752","368,849",*,*,Neutral,Neutral
HPD,1b,FALSE,Emergency violations corrected by HPD (%),15%,15%,14%,12%,11%,*,*,Down,Down
HPD,1b,FALSE,Violations closed,"536,010","433,960","416,454","458,863","489,900",*,*,Up,Neutral
